,1INCH,AAVE,AGLD,ALCX,ALGO,ALICE,ALPHA,AMPL,APE,ASD,ATLAS,ATOM,AUDIO,AVAX,AXS,BADGER,BAL,BAND,BAT,BCH,BIT,BNB,BNT,BOBA,BRZ,BTC,BTT,C98,CEL,CHR,CHZ,CLV,COMP,CREAM,CRO,CRV,CVC,CVX,DAWN,DENT,DODO,DOGE,DOT,DYDX,EDEN,ENJ,ENS,ETH,ETHW,FIDA,FTM,FTT,FXS,GAL,GALA,GMT,GRT,GST,HNT,HOLY,HT,IMX,KBTT,KNC,KSHIB,KSOS,LDO,LEO,LINA,LINK,LOOKS,LRC,LTC,MANA,MAPS,MATIC,MEDIA,MKR,MNGO,MOB,MTL,NEAR,OKB,OMG,OXY,PAXG,PEOPLE,PERP,POLIS,PROM,PUNDIX,RAY,REEF,REN,RNDR,RSR,SAND,SECO,SHIB,SKL,SLP,SNX,SOL,SOS,SPELL,SRM,STEP,STG,STMX,STORJ,SUSHI,SXP,TLM,TOMO,TONCOIN,TRU,TRX,TRYB,UNI,WAVES,XAUT,XRP,YFI,YFII,ZRX
2021-09-26 00:00:00,,-0.04231814446329772,,,,,,,,,,,0.07265367937934823,,0.07904458887759881,,,,0.012971661037993978,-0.04354161001815258,,-0.07714268318243173,-0.4239370433767456,,,0.010484570324093253,,-0.03514974311648021,0.629277253129426,,-0.014645811218702174,,-0.005727044626412938,,,-0.034309968708413456,,,,,,-0.06271577088832836,,0.07385467692888133,,0.02079196021773763,,,,,-0.001225735809899331,0.06577422783331144,,,,,-0.05439852735254172,,,,-0.3505246696319705,,,,,,,,,-0.024577151886149725,,,-0.05409954839749851,,,-0.04374772122131645,,0.012314543922202277,,,,,-0.40001706691798844,0.1217998580367977,,,,0.09147946872877026,,,,0.06606367424273626,,0.18361634186836495,,,0.011453886710204945,,0.01615518877433966,,,0.052711476593830665,0.09741803615564244,,,0.09399809459264834,,,,,0.0016806800040860732,,,,,,-0.05259365963117662,,-0.04221546740363481,,,-0.011666632157714888,-0.05282460661748019,,0.013287964189124056
2021-09-26 01:00:00,,-0.024898890651351983,,,,,,,,,,,0.0716382071658659,,0.08022319373339103,,,,0.008581403974210106,-0.047526482486955485,,-0.0774210341803102,-0.4199759828229919,,,0.005632218089063203,,-0.04040127793334443,0.6262197856945833,,-0.016553086539085344,,-0.013181699821018354,,,-0.036314977384005305,,,,,,-0.06246693098791251,,0.07768666205656088,,0.022618634388041615,,,,,0.0008741445812424858,0.07094237493270612,,,,,-0.052350515952040315,,,,-0.3531688739956384,,,,,,,,,-0.028128261416466512,,,-0.05280208778864033,,,-0.036919031673080534,,0.011793565602615205,,,,,-0.40501526400800114,0.13489134642943829,,,,0.07889616599588117,,,,0.06718929172078798,,0.1800190462562115,,,0.005936041920394181,,0.009637112718333172,,,0.05010073713282318,0.10627037619315827,,,0.09363752378254613,,,,,0.0014597465066967829,,,,,,-0.053398763457704466,,-0.036814941194865336,,,-0.013281703379425983,-0.051899719143219954,,0.012942839133146226
2021-09-26 02:00:00,,-0.024075240834628434,,,,,,,,,,,0.07802396121748616,,0.07976907121326589,,,,0.00624933410298757,-0.046307008599962896,,-0.07417962215683892,-0.42736328724875255,,,0.011605224744070984,,-0.04130473799724611,0.6250224815668908,,-0.016312296780682665,,-0.01355080408519639,,,-0.03776446583858292,,,,,,-0.05729352502256769,,0.07975028923033457,,0.022019673270923336,,,,,-0.0012720103782419359,0.07259001443875732,,,,,-0.057023250707320325,,,,-0.35152688246801894,,,,,,,,,-0.02806954333508368,,,-0.051859826869828395,,,-0.036242621681849455,,0.010574742712098222,,,,,-0.40446721419812703,0.1286247047211951,,,,0.08102854864911946,,,,0.0648044102791454,,0.17953631509656584,,,0.0077011185379345076,,0.0160979338134759,,,0.047560050987100505,0.09817432696147402,,,0.0891380365663444,,,,,0.004366922054471306,,,,,,-0.054642493460077816,,-0.03796286459745087,,,-0.012204107789128543,-0.05508895636075821,,0.007297564449132425
2021-09-26 03:00:00,,-0.02303354428089236,,,,,,,,,,,0.08347333837100268,,0.0792125248615246,,,,0.006942500876663051,-0.04489443110159562,,-0.07246339867084996,-0.4299094898740298,,,0.013478358990918043,,-0.04189255563517076,0.6241632563769316,,-0.015464729949002732,,-0.013435579874595191,,,-0.05102307317464571,,,,,,-0.054493893847831154,,0.0721258840326774,,0.023146303319965447,,,,,-3.1933004952678534e-05,0.07393473434273908,,,,,-0.05687441948230275,,,,-0.349198662458901,,,,,,,,,-0.031078104642118996,,,-0.05098748430673053,,,-0.04258435217378481,,0.010953168781277335,,,,,-0.4026445425906311,0.13250811032183463,,,,0.08364687626167704,,,,0.0666424644829457,,0.17633442983554906,,,0.010487656339158274,,0.020246257499940506,,,0.046309056890272815,0.09970915881016085,,,0.09029621570708353,,,,,0.004278190942817268,,,,,,-0.053050134837672173,,-0.03787839492802856,,,-0.00910676816550976,-0.05668982622628094,,0.000449450023949903
2021-09-26 04:00:00,,-0.02888533101488009,,,,,,,,,,,0.06655088768735683,,0.07530941614266183,,,,0.004105280060395583,-0.04551241892575982,,-0.0752901090989898,-0.41599819933396365,,,0.012972664222355169,,,0.6311415224886743,,-0.015756810362041903,,-0.017213027851710777,,-0.016434994165343903,-0.0316065965314501,,,,,,-0.06070841767746515,,0.1256325006062665,,0.018199903983118805,,,,,-0.009231277704438613,0.07064322095455923,,,,,-0.05245738242079544,,0.039389112345830216,,-0.3526513009509537,,,,,,,,,-0.024287721577804216,,,-0.04292128641844449,,,-0.04471479681458469,,0.013609492747672555,,,,,-0.40567438986614185,0.10863380622013892,,,,0.0781481042129995,,,,0.06462123750959786,,0.17308723727893402,,,,,-0.0076957303771626314,,,0.03420424646448627,0.1018460689753869,,,0.09462485408463667,,,,,-0.0011542471110733967,,,,,,-0.06655300195117014,,-0.037026034455772155,,,-0.00860787551387958,-0.05048190821893466,,0.003413412155932514
2021-09-26 05:00:00,,-0.029749244543342383,,,,,,,,,,,0.06533736357617399,,0.07956708693260701,,,,0.00490218205485285,-0.04633458591007248,,-0.07522942046797845,-0.41586017095163685,,,0.013500770980982608,,,0.625782997868853,,-0.01728597807225701,,-0.015901706072005344,,-0.018854851564961573,-0.04037338821607893,,,,,,-0.05950808536409612,,0.11360647008443289,,0.020541086053461395,,,,,-0.012207856860654485,0.07378496472763549,,,,,-0.053652209424536405,,0.041795121738479483,,-0.35519406554264044,,,,,,,,,-0.026391525975485483,,,-0.03579996025359426,,,-0.038224801826193464,,-0.014520704391440724,,,,,-0.40546069515874233,0.12785124375571472,,,,0.08855698175714098,,,,0.07083393326128418,,0.16410568259357958,,,,,-0.00568190614529934,,,0.0378229679316802,0.10872544022692694,,,0.0983511788529256,,,,,-7.640032214028023e-05,,,,,,-0.06874370001784924,,-0.041285762976825895,,,-0.009275746399032479,-0.04842811349374096,,1.0774958615639509e-05
2021-09-26 06:00:00,,-0.030817849309829067,,,,,,,,,,,0.06532491763555189,,0.0825809804654206,,,,0.005757201477123797,-0.042072605958424596,,-0.07686421973152284,-0.41678963260133456,,,0.012975701326846164,,,0.6193253733863022,,-0.013293947258484136,,-0.027918779980873765,,-0.01536988579385586,-0.022298804793500878,,,,,,-0.06049427602963937,,0.114030262017627,,0.02361741182109002,,,,,-0.009076787342089419,0.07465193392930572,,,,,-0.05329148186192625,,0.04089893238530004,,-0.3622447017670349,,,,,,,,,-0.020381100896293535,,,-0.039371194020544384,,,-0.036318362194954996,,-0.014366037238466998,,,,,-0.4098609799538382,0.13067942457881287,,,,0.07808882340904055,,,,0.07453399511876976,,0.16012053959584918,,,,,0.0020657610650500857,,,0.036858671075233045,0.1127981477503179,,,0.10062196019050809,,,,,-0.0007441893433989714,,,,,,-0.06497998489489268,,-0.03924521730388922,,,-0.007388730260438859,-0.04957690431311077,,0.0028000811200710714
2021-09-26 07:00:00,,-0.03191670301837078,,,,,,,,,,,0.06792101221223637,,0.0822327569679993,,,,0.00824036666626617,-0.04358979118572255,,-0.07630345770466565,-0.4114523982159676,,,0.01185261119559501,,,0.6188915101268403,,-0.010103556359137003,,-0.028373509002802215,,-0.015597778321404606,-0.022079313533487153,,,,,,-0.06064865139713304,,0.11449177532826409,,0.036906522456862066,,,,,-0.012370003145756283,0.0744555326982705,,,,,-0.053135011137311464,,0.04576536470500324,,-0.3670220474400276,,,,,,,,,-0.022680543199692562,,,-0.04140391230740721,,,-0.035474903805615556,,-0.014905241839149413,,,,,-0.4145376306364307,0.12421055656483697,,,,0.06921992706716262,,,,0.07457624827923763,,0.1557848507928687,,,,,0.003028225929847536,,,0.03686892361463504,0.11382338894170638,,,0.10142541060491378,,,,,-0.001024592657772836,,,,,,-0.06313102043330543,,-0.03792458286380006,,,-0.0069676300599882685,-0.048898162084307896,,0.0023842208067977526
2021-09-26 08:00:00,,-0.030319232366361228,,,,,,,,,,,0.0781842147401365,,0.08170633726562132,,,,0.005016639767510873,-0.043456064650544836,,-0.07319148092999664,-0.4140427813003707,,,0.016521746747408937,,,0.5996970942528129,,-0.014536090414828671,,-0.028406953274625488,,-0.004110640656236849,-0.025760569519323817,,,,,,-0.0531011861627325,,0.10549651429140904,,0.020062410754862616,,,,,-0.01094372858589698,0.06782808883070307,,,,,-0.058098101049212515,,0.044590781016359576,,-0.3821133532175001,,,,,,,,,-0.02396119971821394,,,-0.03802011742974834,,,-0.03112766086764029,,-0.018061998316278128,,,,,-0.433627156693719,0.11215468184157715,,,,0.07031738094993725,,,,0.0767951747868485,,0.15244518361098036,,,,,0.025771765552486853,,,0.03498416045911886,0.11524499086287501,,,0.1008277819711767,,,,,-0.003609610283603895,,,,,,-0.0561084250885321,,-0.03751783132670803,,,-0.001902819019508855,-0.05866216397398172,,0.003402270642913312
2021-09-26 09:00:00,,-0.01138841948300378,,,,,,,,,,,0.08626715809298804,,0.06251861283353755,,,,0.01204806734241535,-0.04949221825700188,,-0.09780236434668961,-0.3148942025797245,,,0.018513944869504605,,,0.5809045928966791,,-0.0035301345646342867,,0.010727211487096005,,-0.012206356325182879,-0.03450227447170703,,,,,,-0.05448960534690755,,0.09766153385996768,,0.013079992831399559,,,,,0.012514587677968137,0.09789546064705022,,,,,-0.05176351776567673,,0.056388345016389466,,-0.44226711864141577,,,,,,,,,-0.029122809660151946,,,-0.03319649758713967,,,-0.01610812871656724,,-0.014284183880718608,,,,,-0.46883547960842803,0.11108732023735171,,,,0.04918105751646131,,,,0.07851053213042272,,0.16002251263624492,,,,,0.010675919303888776,,,0.05072741638678758,0.13454030728093305,,,0.11009327673384248,,,,,-0.002476733198993285,,,,,,-0.07263196322383192,,-0.03855069221707933,,,0.012285924748716866,-0.03611483619080561,,-0.0038779728649721095
