,BTC,BNB,XRP,SOL,DOGE,LINK,UNI,LTC,BCH,MATIC,FTT,TRX,AXS,SHIB,AAVE,OKB,GRT,FTM,CEL,MKR,COMP,SUSHI,SNX,HT,CHZ,OMG,ENJ,YFI,SRM,BAT,CRV,REN,AUDIO,BNT,ZRX,DYDX,RAY,PERP,SAND,C98,CRO,HNT,LEO,MANA,WAVES,SKL,SPELL,1INCH
2021-09-26 00:00:00,CSP,CSP,CLP,CSP,CSP,STO,STO,CSP,CSP,CSP,STO,STO,CSP,CSP,STO,BTO,STO,CLP,CSP,CSP,CLP,STO,CLP,BTO,CSP,CSP,CLP,STO,CSP,CSP,CSP,STO,BTO,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,,,,,
2021-09-26 01:00:00,CSP,CSP,CLP,CSP,CSP,STO,STO,CSP,CSP,CSP,STO,CLP,CSP,CSP,STO,BTO,STO,CLP,CSP,CSP,CLP,STO,CLP,BTO,CSP,CSP,STO,STO,CSP,CSP,CSP,CLP,CSP,STO,CSP,CSP,CSP,CLP,CSP,CSP,,,,,,,,
2021-09-26 02:00:00,CSP,CSP,CLP,CSP,CSP,STO,STO,CSP,CSP,CSP,STO,CLP,CSP,CSP,STO,BTO,CLP,CLP,BTO,CSP,CLP,STO,STO,BTO,CSP,CSP,STO,STO,CSP,CSP,CSP,CLP,BTO,CLP,CSP,CSP,CSP,CLP,CSP,CSP,,,,,,,,
2021-09-26 03:00:00,CSP,CSP,CLP,CSP,CSP,STO,CLP,CSP,CSP,STO,STO,CLP,CSP,CSP,STO,BTO,CLP,CSP,BTO,CSP,CLP,STO,CLP,BTO,CSP,CSP,CLP,STO,CSP,CSP,CSP,CLP,BTO,CLP,CSP,CSP,CSP,CLP,CSP,CSP,,,,,,,,
2021-09-26 04:00:00,CSP,CSP,CLP,CSP,CSP,STO,CLP,STO,CSP,CLP,STO,CSP,CSP,CSP,STO,BTO,CLP,CSP,BTO,CSP,CLP,STO,STO,BTO,CSP,CSP,CLP,STO,CSP,CSP,CLP,CLP,BTO,CLP,CSP,CSP,CSP,CSP,,,CSP,CSP,,,,,,
2021-09-26 05:00:00,CSP,CSP,CLP,CSP,CSP,STO,STO,CSP,CSP,CSP,STO,CSP,CSP,CSP,STO,BTO,STO,CLP,BTO,STO,CLP,STO,CLP,BTO,CSP,CSP,CSP,STO,CSP,CSP,CSP,STO,BTO,CLP,CSP,CSP,CSP,CSP,,,CSP,CSP,,,,,,
2021-09-26 06:00:00,CSP,CSP,CSP,CSP,CSP,STO,CLP,CLP,CSP,CSP,CLP,CSP,CSP,CSP,STO,BTO,CLP,CLP,BTO,STO,STO,STO,CLP,BTO,CSP,CSP,CSP,STO,CSP,CSP,CSP,CLP,BTO,CLP,CSP,CSP,CSP,CLP,,,CSP,CSP,,,,,,
2021-09-26 07:00:00,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CLP,CSP,CSP,BTO,STO,BTO,CLP,CSP,BTO,STO,STO,STO,STO,BTO,CSP,CSP,STO,STO,CSP,CSP,CSP,CLP,BTO,STO,CSP,CSP,CSP,CSP,,,CSP,CSP,,,,,,
2021-09-26 08:00:00,CSP,CSP,CLP,CSP,CSP,STO,STO,CSP,CSP,CLP,CLP,CLP,CSP,BTO,STO,BTO,STO,CSP,BTO,STO,STO,STO,STO,BTO,CSP,CSP,STO,STO,CSP,CSP,CSP,CLP,BTO,STO,CSP,CSP,CSP,CSP,,,CSP,CSP,,,,,,
2021-09-26 09:00:00,CSP,CSP,CLP,CSP,CSP,STO,STO,CLP,CSP,STO,CLP,CSP,CSP,CSP,STO,BTO,STO,CSP,BTO,STO,STO,STO,STO,BTO,CLP,CSP,STO,STO,CSP,CSP,CSP,CSP,BTO,STO,CSP,CSP,CSP,CSP,,,CSP,CSP,,,,,,
