,AAVE,AUDIO,AXS,BAT,BCH,BNB,BNT,BTC,CEL,CHZ,COMP,CRO,CRV,DOGE,DYDX,ENJ,ETH,FTM,FTT,GRT,HNT,HT,LINK,LTC,MATIC,MKR,OKB,OMG,PERP,REN,SHIB,SNX,SOL,SPELL,SRM,SUSHI,TRX,UNI,XRP,YFI
2021-09-26 00:00:00,-0.19053883086856635,-0.10113127408234458,-0.13122032181907034,-0.23325810019636503,-0.2066707242474844,-0.20578548513859807,0.12315496505317178,-0.17405648160835005,-0.06080948635107151,-0.2191712865282398,-0.18235346480040468,,-0.11053090074209768,-0.21621981866337464,-0.04298705893483612,-0.16614440539631356,-0.16667461793508465,-0.14483901210128375,-0.10855667696716217,-0.1791213490633842,,-0.10077676410965652,-0.17464936779280735,-0.1903414087028078,-0.21281269265562278,-0.19708762780557587,-0.15184555594695698,-0.07617169265814591,-0.1280720783747092,-0.09022280589725956,-0.0731546822628154,-0.160653342118102,-0.14012055172575497,,-0.15897917206338338,-0.15135264370758406,-0.14284643325118454,-0.18738708760491646,-0.1970162197699111,-0.20471209973599114
2021-09-26 01:00:00,-0.1949182023470426,-0.10108632828721836,-0.13109277297522068,-0.23361211815141336,-0.20676840492633708,-0.20565652021366532,0.12339102697432956,-0.1741797920838506,-0.06504620215528814,-0.21877794296401915,-0.18290137602314555,,-0.11047910914857538,-0.2160786891243737,-0.042927007629774847,-0.16611162000924054,-0.16670749132710974,-0.14475179124251303,-0.10836568784426708,-0.17899515933018698,,-0.10063457143668476,-0.1744076835088259,-0.1901743423401352,-0.2131965369235629,-0.19701435112215127,-0.1508633143247856,-0.07608545148904675,-0.1281266553773848,-0.09042641909184142,-0.07308482765053466,-0.1608550046585364,-0.1401169836680501,,-0.15900596996111263,-0.15134104708341958,-0.14276594298487172,-0.18767958748354976,-0.19683328104856254,-0.20463987141000778
2021-09-26 02:00:00,-0.19582838233329625,-0.10269170890410956,-0.13092334358413787,-0.2324954186901412,-0.20626000665800842,-0.20588565227109373,0.12282300286415512,-0.17440325264753248,-0.06296308913966771,-0.21865579701294152,-0.18299118490458344,,-0.11044342150697231,-0.21644316866352153,-0.04313521309649496,-0.16593511783527692,-0.16682822803989808,-0.14402501455790712,-0.10845901572653718,-0.17813501981556312,,-0.09914939679476893,-0.17401426396529077,-0.18994036160882974,-0.2134235456348315,-0.1972709879901292,-0.14802061875547004,-0.07590680107752484,-0.12836187781071445,-0.09099200848061446,-0.07307525761889627,-0.16013151291487138,-0.14004711611903117,,-0.15999836370917964,-0.15157566700478087,-0.14402933623534098,-0.18680309995095637,-0.19658457748239178,-0.20344653269469784
2021-09-26 03:00:00,-0.19564504597057736,-0.1031473776717641,-0.13041211304662345,-0.2321165890002728,-0.20641138025503525,-0.20584628215714415,0.12199196302685435,-0.17440065038260036,-0.06166208014768854,-0.21840099625496875,-0.1828492068090823,,-0.11444060025228969,-0.21661603776747584,-0.042896001825094274,-0.16572368547841332,-0.16678258576333885,-0.14413208404152103,-0.1083419671159631,-0.17794751691153649,,-0.0986559950688613,-0.17618518367923838,-0.18971507838483634,-0.22164685207319026,-0.19727580308006118,-0.14684344381204634,-0.07512517064055825,-0.12822888716812775,-0.09062668306186569,-0.07343697407841408,-0.16305624250960787,-0.13971204187717545,,-0.15989845202623967,-0.15134693048366007,-0.1438124476482967,-0.1865789362306551,-0.19660440731533976,-0.20302945504191056
2021-09-26 04:00:00,-0.19498092602883732,-0.10217419846031577,-0.1297270929321538,-0.23119337725062197,-0.20585680263202885,-0.20434405011489087,0.1217851065079135,-0.1739598715599116,-0.05727335531134593,-0.21728224141372685,-0.18222009676906836,-0.17018905400779732,-0.11905524322113299,-0.2155196468129845,-0.04625792751379787,-0.16484381247326102,-0.16641171597357401,-0.14375537630230198,-0.1076340762066705,-0.1773555764128783,-0.21715458352918027,-0.09775954874406824,-0.17726080075829495,-0.19131551697654106,-0.22061052338153805,-0.19681941691353658,-0.14452162295295512,-0.07409407018674315,-0.12686232270529865,-0.0907949162080322,-0.07275976881726717,-0.16319416741545723,-0.13784323027665243,,-0.15867482197040253,-0.150514311199935,-0.14399014670639265,-0.18605948413230486,-0.19555513418980405,-0.20317758033658942
2021-09-26 05:00:00,-0.19517925227149785,-0.10256229559307792,-0.12993279651149958,-0.23148599352442253,-0.20632853161130235,-0.20465177930938525,0.12363505851425638,-0.17420792482195702,-0.057560278174443216,-0.21765983589903284,-0.18243481995076238,-0.17053029703042652,-0.12027584644071038,-0.21604124471202968,-0.046989992858474355,-0.16520301348371746,-0.16656869923966888,-0.14398609351149388,-0.10772178331750187,-0.17706404003298865,-0.2176608475188838,-0.0981325947264867,-0.17700528080623332,-0.19353240167036972,-0.22193787211587035,-0.16397046163711226,-0.1447903643510878,-0.07398467262320013,-0.1266106003037232,-0.09185159804974664,-0.07309716055374103,-0.16318196560172202,-0.1378120454229428,,-0.15895311799280354,-0.15082480169216572,-0.1441903137228701,-0.18581463214992233,-0.19569938935911765,-0.20375546891303545
2021-09-26 06:00:00,-0.1968182490403739,-0.1021291505124202,-0.1303173939698435,-0.2330880901056983,-0.20792964416661222,-0.20653427647797656,0.12162356901042462,-0.17531897315411746,-0.04542950738429074,-0.21866311959635285,-0.18739255703435728,-0.17167171283338634,-0.12500954088571348,-0.21746944749595729,-0.04103847862238533,-0.16590329279673996,-0.169529087193495,-0.14440992028403277,-0.1083105280905853,-0.17815912469933534,-0.2189573225606195,-0.0986211338398816,-0.17841261215619236,-0.19524444043170425,-0.22353741071708538,-0.16043931212965004,-0.144773583745575,-0.07448746338438916,-0.12432468005904534,-0.09180822948899726,-0.07407273672317674,-0.16439698841180048,-0.13834271328745693,,-0.15971475273002186,-0.15181714486381032,-0.14511507243436825,-0.18723349296136305,-0.19691443941704898,-0.205372187910494
2021-09-26 07:00:00,-0.1969115491742281,-0.10282335259044598,-0.13028183099229393,-0.23354877327102402,-0.20790209167474946,-0.20679563632888875,0.12266844206713053,-0.1753520513659665,-0.044671351949067156,-0.21866444443298955,-0.18743806402203197,-0.17179638729927244,-0.12506181913288814,-0.2176082743233229,-0.04100663251219127,-0.15759048128475203,-0.16960190885725007,-0.1440097649648534,-0.10843183143454663,-0.17827477579518972,-0.21899426029114857,-0.097232706637,-0.17834788874867108,-0.19545404075999984,-0.2262247175227286,-0.1609548131568995,-0.14388512054462618,-0.07411454089042004,-0.123740301397007,-0.09164430450610835,-0.07422741786629758,-0.16453895259855128,-0.13889789826258206,,-0.16028882672460493,-0.15210976771287335,-0.14554100749971718,-0.1875567561041823,-0.1971523539407573,-0.20557956251702025
2021-09-26 08:00:00,-0.19695548526410295,-0.10291966394810775,-0.13042827327293394,-0.23335780676402582,-0.20787269900996408,-0.20678952722912958,0.12154380407001263,-0.17594504893207108,-0.04657684937677694,-0.21816471544551885,-0.18763513851272368,-0.17289752696662267,-0.12481713702320817,-0.2181864291317787,-0.041187806310252935,-0.15561331060455713,-0.16966170769684244,-0.1444654346257787,-0.10821153177409329,-0.17948751573343086,-0.21949259846917155,-0.09297842776725782,-0.17822534212313235,-0.19588017981594544,-0.22674726419835928,-0.16075561224379412,-0.13209620047621592,-0.07400009363432761,-0.12392043149362765,-0.09185334253309754,-0.07439448022717915,-0.16515579864897567,-0.13939977460727265,,-0.16100064503770112,-0.15194992349549635,-0.14595631173405052,-0.1878308851340576,-0.1979089235955084,-0.20400862184653046
2021-09-26 09:00:00,-0.19538797622732484,-0.10296226715725844,-0.1305261120107706,-0.2313110855480993,-0.20500656194936145,-0.2000604816693014,0.1220139649001784,-0.1741987051159872,-0.04465613083548736,-0.21801156571845082,-0.1860062389764767,-0.17127272713341632,-0.12431912945027462,-0.21602644036689808,-0.041697713832723894,-0.15374496170013263,-0.1683570030833687,-0.14354988853899914,-0.1073699412187195,-0.17795658219953284,-0.21813502332999263,-0.07900804480733072,-0.17531308216897173,-0.19409964446548958,-0.22528331184681685,-0.15992509023661913,-0.1222714483322403,-0.0747464888217131,-0.12449705365311309,-0.09181543271932076,-0.07549220700298755,-0.16428033465619796,-0.13927408389093504,,-0.1599134804083315,-0.15077964582883246,-0.14434446025513267,-0.18525341436933332,-0.19660343108438544,-0.20263022985988655
